Product Phase,Product State,Brand,From,Character,Type,Height Range,Scale,Feature,Est Released Time,Type,Price
pre-order,orderable,TS Studio,Pokémon,Palpitoad,GK Statue,unknown,1/20,Other, ,GK Statue,"3,148.79"
pre-order,orderable,Toys Evolution Studio,Captain Commando,BABY HEAD,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"15,836.55"
pre-order close,contact for current prices,Coach Factory Studio,Original,Daisuke,GK Statue,16-25cm,other scale,18+ Male,06/2025 ,GK Statue,"17,596.17"
pre-order,orderable,Arctic Wolf Studio,Honkai: Star Rail,Robin,GK Statue,unknown,1/6,18+ Female,09/2025 ,GK Statue,"34,914.50"
released,contact for current prices,Prime 1 Studio,Battle Angel Alita,Alita,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"152,716.22"
released,orderable,A Miao Hua She Studio,Naruto,Uchiha Itachi,3D Decorative Paint,36-50cm,other scale,Other,09/2024 ,3D Decorative Paint,"5,186.24"
released,contact for current prices,pink pink studio,Super Mario,Bowsette,GK Statue,36-50cm,1/6,Other, ,GK Statue,"37,970.68"
released,orderable,Dorobou Neko Studio,Neon Genesis Evangelion,Ayanami Rei,GK Statue,36-50cm,other scale,18+ Female,09/2024 ,GK Statue,"6,204.96"
pre-order,orderable,LK Studio,NieR:Automata,2B,GK Statue,51-69cm,1/4,18+ Female,12/2024 ,GK Statue,"52,881.12"
pre-order,orderable,Jiuzhou Studio,Original,Sadako,GK Statue,16-25cm,1/4,18+ Female, ,GK Statue,"61,401.36"
released,contact for current prices,Prime 1 Studio,Battle Angel Alita,Alita,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"111,689.36"
pre-order,orderable,APEX TOYS Studio,Azur Lane,Owari,Licensed Figure,16-25cm,1/7-1/9(pop-like),Other,10/2025 ,Licensed Figure,"12,039.48"
released,orderable,A Miao Hua She Studio,One Piece,Boa Hancock,3D Decorative Paint,unknown,other scale,Other,09/2024 ,3D Decorative Paint,"8,798.08"
released,contact for current prices,Prime 1 Studio,Minions Series,Minions,Licensed Statue,16-25cm,none scale,Other, ,Licensed Statue,"20,281.90"
pre-order,orderable,Tian Ye Studio,Original,loong,GK White Model,16-25cm,other scale,Other,12/2024 ,GK White Model,"8,705.47"
pre-order,orderable,PartyLook Studio,Original,Rabbit Girl,Licensed Figure,36-50cm,1/4,18+ Female,03/2025 ,Licensed Figure,"24,634.64"
pre-order,orderable,ENSOUTOYS Studio,Original,Sayuri,Licensed Figure,16-25cm,1/7-1/9(pop-like),18+ Female,06/2025 ,Licensed Figure,"6,945.86"
pre-order,orderable,Rui zuo Studio,Original,Cthulhu,Action Figure,26-35cm,1/12,Other,12/2024 ,Action Figure,"7,686.75"
pre-order close,contact for current prices,Threezero Studio,Dorohedoro,Noi,Action Figure,unknown,1/6,Other,12/2024 ,Action Figure,"20,652.34"
pre-order,orderable,RIOBOT  Studio,Super Robot Wars series,EG-X Soulgain,Licensed art toys,16-25cm,other scale,Other,06/2025 ,Licensed art toys,"27,135.14"
released,contact for current prices,Prime 1 Studio,Minions Series,Minions,Licensed Statue,10-15cm,none scale,Other, ,Licensed Statue,"17,318.33"
released,contact for current prices,Prime 1 Studio,Minions Series,Minions,Licensed Statue,10-15cm,none scale,Other, ,Licensed Statue,"12,132.09"
pre-order close,contact for current prices,Hottoys Studio,Marvel,Deadpool,Licensed art toys,unknown,1/6,Other,12/2024 ,Licensed art toys,"24,634.64"
released,orderable,Prime 1 Studio,Minions Series,Minions,Licensed Statue,10-15cm,none scale,Other, ,Licensed Statue,"11,020.76"
released,orderable,Prime 1 Studio,Minions Series,Minions,Licensed Statue,16-25cm,none scale,Other, ,Licensed Statue,"11,020.76"
early bird,orderable,an studio,Digimon,Pinochimon,GK Statue,10-15cm,other scale,Other, ,GK Statue,"17,966.61"
released,orderable,Prime 1 Studio,Minions Series,Minions,Licensed Statue,16-25cm,none scale,Other, ,Licensed Statue,"10,094.64"
pre-order close,contact for current prices,KiPi Studio,Pokémon,Glaceon,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"11,205.98"
released,orderable,Prime 1 Studio,Minions Series,Minions,Licensed Statue,10-15cm,none scale,Other, ,Licensed Statue,"12,872.99"
released,contact for current prices,Prime 1 Studio,Minions Series,Minions,Licensed Statue,10-15cm,none scale,Other, ,Licensed Statue,"16,021.77"
pre-order,orderable,starry sky studio,Genshin Impact,Raiden Shogun / Beelzebul,GK Statue,26-35cm,1/7-1/9(pop-like),18+ Female,06/2025 ,GK Statue,"27,227.75"
released,orderable,Prime 1 Studio,Minions Series,Minions,Licensed Statue,16-25cm,none scale,Other, ,Licensed Statue,"11,946.87"
pre-order,orderable,Red 18 Studio,My Dress-Up Darling,Marin Kitagawa,GK Statue,26-35cm,1/6,18+ Female,03/2025 ,GK Statue,"14,910.44"
released,orderable,Prime 1 Studio,Minions Series,Minions,Licensed Statue,10-15cm,none scale,Other, ,Licensed Statue,"8,242.42"
released,orderable,Prime 1 Studio,Minions Series,Minions,Licensed Statue,16-25cm,none scale,Other, ,Licensed Statue,"11,946.87"
pre-order,orderable,RP Studio,Neon Genesis Evangelion,Soryu Asuka Langley,GK Statue,36-50cm,other scale,Other,12/2024 ,GK Statue,"12,872.99"
pre-order,orderable,Konoha Studio,Naruto,Yondaime Raikage,GK Statue,36-50cm,1/6,Other,06/2025 ,GK Statue,"23,986.36"
pre-order,orderable,POISON STING MADE Studio,Genshin Impact,Shenhe,GK Statue,16-25cm,1/5,18+ Female,12/2024 ,GK Statue,"31,302.66"
released,orderable,Prime 1 Studio,Jurassic Series,Giganotosaurus,Licensed Figure,16-25cm,other scale,Other, ,Licensed Figure,"11,946.87"
pre-order,orderable,2% Studio,Dragon Ball,Gogeta,Sex Doll,51-69cm,1/4,Other,12/2024 ,Sex Doll,"46,213.09"
released,orderable,Prime 1 Studio,Jurassic Series,Charlie,Licensed Figure,16-25cm,1/10,Other, ,Licensed Figure,"9,261.14"
pre-order,orderable,yz studio,Bleach,Kyoraku Shunsui,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,556.68"
pre-order,orderable,Twinkle Studio,Zenless Zone Zero,Nicole Demara,GK Statue,unknown,1/6,18+ Female,03/2025 ,GK Statue,"17,503.56"
released,orderable,Prime 1 Studio,Jurassic Series,Echo,Licensed Figure,16-25cm,1/10,Other, ,Licensed Figure,"9,261.14"
pre-order,orderable,ROU Studio,Genshin Impact,Raiden Shogun / Beelzebul,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"15,929.16"
early bird,orderable,Mo Nv Gong Fang Studio,One Piece,Enel,GK Statue,36-50cm,other scale,Other, ,GK Statue,"27,690.81"
released,orderable,Prime 1 Studio,Jurassic Series,Delta,Licensed Figure,16-25cm,1/10,Other, ,Licensed Figure,"9,261.14"
pre-order close,contact for current prices,BBD Studio,Pokémon,Staryu,Peripheral,10-15cm,other scale,Skin change / Cosplay, ,Peripheral,"9,075.92"
pre-order,orderable,c studio,Dragon Ball,Shu,GK Statue,under 10cm,other scale,Other,06/2025 ,GK Statue,"5,001.02"
pre-order,orderable,hh studio,Marvel,Deadpool,GK Statue,under 10cm,other scale,Other, ,GK Statue,"8,520.25"
pre-order,orderable,NINJA Studio,Naruto,Kurama / kyuubi,GK Statue,16-25cm,other scale,Other,06/2025 ,GK Statue,"7,223.69"
released,orderable,Prime 1 Studio,Jurassic Series,Blue,Licensed Figure,16-25cm,1/10,Other, ,Licensed Figure,"9,261.14"
pre-order close,contact for current prices,KetteiArt Studio,Blue Lock,Meguru Bachira,GK Statue,26-35cm,other scale,Other,06/2025 ,GK Statue,"61,308.75"
released,orderable,Prime 1 Studio,Jurassic Series,Carnotaurus,Licensed Figure,16-25cm,other scale,Other, ,Licensed Figure,"9,261.14"
pre-order,orderable,WakuWaku Studio,Spy x Family,Yor Forger,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"17,966.61"
pre-order,orderable,FurryParty Studio,Pokémon,Glaceon,GK Statue,16-25cm,other scale,18+ Furry,03/2025 ,GK Statue,"43,342.14"
pre-order close,contact for current prices,a+ studio,One Piece,Dracule Mihawk,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,556.68"
pre-order,orderable,Native Studio,Original,Xiao Xia,Licensed Figure,26-35cm,1/4,18+ Female,06/2025 ,Licensed Figure,"28,987.37"
pre-order,orderable,Native Studio,Original,Lizbeth,Licensed Figure,10-15cm,other scale,18+ Female,03/2025 ,Licensed Figure,"13,150.82"
pre-order,orderable,Native Studio,Original,Misa Suzuhara,Licensed Figure,16-25cm,1/5,18+ Female,03/2025 ,Licensed Figure,"20,744.96"
released,contact for current prices,Prime 1 Studio,Jurassic Series,Tyrannosaurus-Rex,Licensed Figure,16-25cm,other scale,Other, ,Licensed Figure,"10,187.26"
pre-order,orderable,Native Studio,Original,Chanae,Licensed Figure,26-35cm,1/6,18+ Female,03/2025 ,Licensed Figure,"20,189.29"
pre-order,orderable,Native Studio,Original,Maria Bell,Licensed Figure,36-50cm,1/4,18+ Female,06/2025 ,Licensed Figure,"31,765.71"
pre-order,orderable,Native Studio,Original,Shirazaki Koharu,Licensed Figure,26-35cm,1/6,18+ Female,12/2025 ,Licensed Figure,"19,355.78"
pre-order close,out of stock,BINDing Studio,Original,Nurse,Licensed Figure,26-35cm,1/6,18+ Female,03/2025 ,Licensed Figure,"20,467.12"
pre-order close,out of stock,BINDing Studio,Original,Hana Sumi,Licensed Figure,36-50cm,1/4,18+ Female,06/2025 ,Licensed Figure,"21,856.29"
released,contact for current prices,Prime 1 Studio,Jurassic Series,Spinosaurus,Licensed Figure,16-25cm,other scale,Other, ,Licensed Figure,"12,965.60"
pre-order,orderable,MouseUnit Studio,Original,Karin,Licensed Figure,16-25cm,1/7-1/9(pop-like),18+ Female,03/2025 ,Licensed Figure,"26,301.64"
pre-order,orderable,Kadokawa Studio,Original,KDcolle UMA,Licensed Figure,16-25cm,1/6,18+ Female,03/2025 ,Licensed Figure,"25,560.75"
released,contact for current prices,Prime 1 Studio,Jurassic Series,Brachiosaurus,Licensed Statue,26-35cm,other scale,Other, ,Licensed Statue,"8,242.42"
pre-order,orderable,Kong Species Studio,Original,Water Monster,GK Statue,under 10cm,other scale,Other,12/2024 ,GK Statue,"17,781.39"
released,contact for current prices,Prime 1 Studio,Jurassic Series,Triceratops,Licensed Figure,10-15cm,other scale,Other, ,Licensed Figure,"10,835.53"
released,orderable,The Fall Studio,Pokémon,Kabutops,GK Statue,26-35cm,other scale,Other,09/2024 ,GK Statue,"8,520.25"
pre-order close,contact for current prices,BBD Studio,Pokémon,Bellsprout,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"7,964.58"
pre-order,orderable,LI HUI Studio,Genshin Impact,Hu Tao,GK Statue,26-35cm,1/6,18+ Female,12/2024 ,GK Statue,"32,043.55"
pre-order,orderable,zh studio,Spy x Family,Anya Forger,GK Statue,16-25cm,other scale,Skin change / Cosplay, ,GK Statue,"9,816.81"
pre-order,orderable,yz studio,One Piece,Beasts Pirates,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order,orderable,WAR MACHINE Studio,Gundam Series,Gundam Astray,GK Statue,36-50cm,other scale,Other,06/2025 ,GK Statue,"43,434.75"
released,orderable,Prime 1 Studio,Jurassic Series,Tyrannosaurus-Rex,Licensed Figure,16-25cm,other scale,Other, ,Licensed Figure,"6,390.19"
pre-order,orderable,power studio,Hunter x Hunter,Hisoka,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,371.46"
released,contact for current prices,Prime 1 Studio,Transformers,Lockdown,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"58,530.41"
released,out of stock,Prime 1 Studio,Transformers,Bumblebee,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"15,651.33"
pre-order,orderable,deyin studio,Dragon Ball,Gogeta,GK Statue,51-69cm,1/6,Other, ,GK Statue,"36,951.95"
released,out of stock,Prime 1 Studio,Transformers,Nemesis Prime,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"15,651.33"
pre-order close,contact for current prices,LJ Studio,Naruto,Uzumaki Naruto,GK Statue,unknown,1/6,Other,12/2024 ,GK Statue,"6,112.35"
pre-order,orderable,Arctic Wolf Studio,Genshin Impact,Nahida,GK Statue,unknown,1/6,18+ Female,12/2024 ,GK Statue,"17,596.17"
pre-order,orderable,MEW Studio,Pokémon,Umbreon,GK Statue,unknown,1/20,Other, ,GK Statue,"4,815.79"
released,contact for current prices,Prime 1 Studio,Transformers,Galvatron,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"30,469.15"
pre-order,orderable,Big Feeler Studio,Spy x Family,Bond Forger,GK Statue,26-35cm,other scale,Other,06/2025 ,GK Statue,"27,690.81"
pre-order,orderable,MEW Studio,Pokémon,Kangaskhan,GK Statue,unknown,1/20,Other, ,GK Statue,"5,371.46"
pre-order,orderable,MEW Studio,Pokémon,Lapras,GK Statue,unknown,1/20,Other, ,GK Statue,"5,371.46"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"27,690.81"
pre-order,orderable,NINETY SEVEN Studio,Delicious in Dungeon,Dryad's pumpkin fruit,GK Statue,10-15cm,other scale,Other, ,GK Statue,"3,519.23"
released,contact for current prices,Prime 1 Studio,Transformers,Bumblebee,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"32,969.66"
pre-order,orderable,Tking Studio,Original,Ellie,GK Statue,51-69cm,1/4,Other,12/2024 ,GK Statue,"26,209.03"
pre-order,orderable,league studio,Dragon Ball,Son Gohan,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"9,075.92"
pre-order,orderable,super studio,Crayon Shin-chan,Shinnosuke Nohara,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"7,223.69"
pre-order,orderable,Miao Mi Studio,Spy x Family,Anya Forger,GK Statue,16-25cm,other scale,Other,06/2025 ,GK Statue,"7,408.91"
early bird,orderable,SKS Studio,Hunter x Hunter,Gon Freecss,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"36,951.95"
pre-order close,contact for current prices,Clover Studio,Pokémon,Talonflame,GK Statue,unknown,1/20,Other, ,GK Statue,"9,816.81"
released,contact for current prices,Prime 1 Studio,Transformers,Bumblebee,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"15,651.33"
pre-order,orderable,Tking Studio,Three Kingdoms,Guan Yu,GK Statue,36-50cm,1/7-1/9(pop-like),Other,12/2024 ,GK Statue,"27,690.81"
released,contact for current prices,Prime 1 Studio,Transformers,Bumblebee,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"15,651.33"
pre-order,orderable,YAN Studio,Dragon Ball,Broly,GK Statue,51-69cm,1/4,Other, ,GK Statue,"73,440.85"
released,contact for current prices,Prime 1 Studio,Transformers,Ironhide,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"27,042.53"
pre-order,orderable,z studio,DC Comics,Batman Who Laughs,GK Statue,unknown,1/6,Other, ,GK Statue,"40,100.74"
pre-order,orderable,BWS Studio,One Piece,Edward Newgate (WhiteBeard),GK Statue,51-69cm,other scale,Other,12/2024 ,GK Statue,"15,373.49"
released,contact for current prices,Prime 1 Studio,Transformers,Brawl,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"41,582.52"
released,contact for current prices,Prime 1 Studio,Transformers,Starscream,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"55,381.62"
pre-order close,contact for current prices,Orchid Seed Studio,Original,Cover Lady,PVC Figure,26-35cm,1/5,18+ Female,03/2025 ,PVC Figure,"27,690.81"
released,contact for current prices,Prime 1 Studio,Transformers,Optimus Prime,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"156,235.45"
released,contact for current prices,Prime 1 Studio,Transformers,Megatron,Licensed Statue,16-25cm,none scale,Bust, ,Licensed Statue,"115,949.49"
pre-order,orderable,a+ studio,One Piece,Gambia,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
released,contact for current prices,Prime 1 Studio,Predator,City Hunter Predator,Licensed Statue,36-50cm,1/3,Bust, ,Licensed Statue,"73,996.52"
pre-order,orderable,yz studio,One Piece,Bartholomew Kuma,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"6,482.80"
released,contact for current prices,Prime 1 Studio,Predator,Jungle Hunter Predator,Licensed Statue,36-50cm,1/3,Bust, ,Licensed Statue,"89,925.68"
pre-order,orderable,power studio,Hunter x Hunter,Killua Zoldyck,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order,orderable,stand studio,One Piece,Donquixote Pirates,GK Statue,26-35cm,1/7-1/9(pop-like),Other,06/2025 ,GK Statue,"19,726.23"
released,contact for current prices,Prime 1 Studio,Predator,Jungle Hunter Predator,Licensed Statue,36-50cm,1/3,Bust, ,Licensed Statue,"83,257.66"
pre-order,orderable,M.H.T Studio,Crayon Shin-chan,Shinnosuke Nohara,GK Statue,26-35cm,other scale,Other, ,GK Statue,"14,539.99"
released,contact for current prices,Prime 1 Studio,Predator,Jungle Hunter Predator,Licensed Statue,36-50cm,1/3,Bust, ,Licensed Statue,"84,183.77"
pre-order,orderable,NEW QI YUAN Studio,Dragon Ball,Broly,GK Statue,36-50cm,other scale,Other, ,GK Statue,"46,213.09"
released,contact for current prices,Prime 1 Studio,Predator,Jungle Hunter Predator,Licensed Statue,36-50cm,none scale,Bust, ,Licensed Statue,"83,257.66"
released,contact for current prices,Prime 1 Studio,Bioboosted Armor Guyver,Guyver III,Licensed Statue,70-90cm,none scale,Bust, ,Licensed Statue,"85,758.17"
pre-order,orderable,Shuang Yu Studio,Ultraman,Ultraman Tiga,Peripheral,10-15cm,other scale,Other, ,Peripheral,"4,260.12"
released,contact for current prices,Prime 1 Studio,Bioboosted Armor Guyver,Guyver I,Licensed Statue,26-35cm,none scale,Bust, ,Licensed Statue,"27,690.81"
pre-order,orderable,Nan Gua Zhou Studio,Pokémon,Ninetales,GK Statue,10-15cm,1/20,Other, ,GK Statue,"7,223.69"
pre-order,orderable,Meta Toy studio,Zenless Zone Zero,Jane Doe,GK Statue,unknown,1/6,18+ Female,03/2025 ,GK Statue,"22,134.13"
early bird,orderable,ROU Studio,Blue Archive,Jane Doe,GK Statue,16-25cm,1/6,18+ Female, ,GK Statue,"46,213.09"
pre-order,orderable,Hello Studio,Frieren: Beyond Journey's End,Aura,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"17,966.61"
pre-order,orderable,Wan Jie Studio,One Piece,Boa Hancock,GK Statue,unknown,other scale,18+ Female, ,GK Statue,"15,280.88"
released,contact for current prices,Prime 1 Studio,Neon Genesis Evangelion,EVANGELION-01,Licensed Statue,26-35cm,none scale,Bust, ,Licensed Statue,"46,027.87"
pre-order,orderable,Ji Ke Studio,One Piece,Edward Newgate (WhiteBeard),GK Statue,51-69cm,other scale,Other, ,GK Statue,"43,805.20"
released,contact for current prices,Prime 1 Studio,DC Comics,joker,Licensed Statue,26-35cm,1/3,Bust, ,Licensed Statue,"27,690.81"
pre-order,orderable,yz studio,Bleach,Ginrei Kuchiki,GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"5,371.46"
pre-order,orderable,Otherwhere Studio,Original,Houri,Licensed Figure,26-35cm,1/6,Other,04/2025 ,Licensed Figure,"14,910.44"
pre-order,orderable,yz studio,One Piece,Shiryu (Shiliew),GK Statue,under 10cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,112.35"
pre-order,orderable,MEW Studio,Pokémon,Snorlax,GK Statue,unknown,1/20,Other, ,GK Statue,"5,371.46"
pre-order close,contact for current prices,3YS Studio,World of Warcraft,Lich King,Action Figure,unknown,1/6,Other,06/2024 ,Action Figure,"39,915.52"
released,contact for current prices,Prime 1 Studio,DC Comics,Batman,Licensed Statue,16-25cm,1/3,Bust, ,Licensed Statue,"13,799.10"
pre-order,orderable,,One Piece,Marine,GK Statue,16-25cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"9,816.81"
released,contact for current prices,Prime 1 Studio,DC Comics,Batman,Licensed Statue,16-25cm,1/3,Bust, ,Licensed Statue,"31,395.27"
pre-order,orderable,SPY Studio,Spy x Family,Anya Forger,GK Statue,16-25cm,other scale,Other, ,GK Statue,"9,261.14"
pre-order,orderable,Karami Studio,Pokémon,Riolu,GK Statue,under 10cm,1/20,Other, ,GK Statue,"9,446.36"
released,contact for current prices,Prime 1 Studio,Batman Series,Bane,Licensed Statue,51-69cm,1/3,Bust, ,Licensed Statue,"36,951.95"
released,contact for current prices,Prime 1 Studio,Justice League,Wonder Woman,Licensed Statue,36-50cm,1/3,Other, ,Licensed Statue,"51,584.56"
pre-order,orderable,ACG Studio,Genshin Impact,Keqing,GK Statue,unknown,1/6,18+ Female,12/2024 ,GK Statue,"46,953.98"
released,contact for current prices,Prime 1 Studio,DC Comics,Batman,Licensed Statue,26-35cm,1/3,Bust, ,Licensed Statue,"27,690.81"
pre-order close,contact for current prices,Ec Studio,Pokémon,Mr. Mime,GK Statue,unknown,1/20,Other, ,GK Statue,"8,520.25"
pre-order,orderable,FAce Studio,Azur Lane,USS St. Louis,GK Statue,16-25cm,1/6,18+ Female,12/2024 ,GK Statue,"10,928.15"
pre-order,orderable,AA Studio,Jujutsu Kaisen,Suguru Geto,GK Statue,26-35cm,1/6,Other, ,GK Statue,"13,058.21"
pre-order,orderable,FAce Studio,One Piece,Bonney,GK Statue,26-35cm,1/6,Other, ,GK Statue,"12,872.99"
pre-order,orderable,Rainbow Studio(Cai Hong She),Delicious in Dungeon,Laios Touden,GK Statue,16-25cm,other scale,18+ Male,12/2024 ,GK Statue,"23,986.36"
pre-order,orderable,Mimo Studio,Spy x Family,Anya Forger,GK Statue,10-15cm,other scale,Skin change / Cosplay,09/2025 ,GK Statue,"7,408.91"
released,contact for current prices,Prime 1 Studio,DC Comics,Batman,Licensed Statue,16-25cm,1/3,Bust, ,Licensed Statue,"35,470.17"
pre-order,orderable,a+ studio,One Piece,Kaido,GK Statue,10-15cm,wcf-like & sd-like,Other, ,GK Statue,"8,890.70"
released,contact for current prices,Prime 1 Studio,Dragon Ball,Vegeta,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"190,686.89"
pre-order,orderable,Shellfish Studio,Wuthering Waves,Jinhsi,GK Statue,26-35cm,1/7-1/9(pop-like),18+ Female,03/2025 ,GK Statue,"25,745.97"
released,contact for current prices,scratch studio,One Piece,Shanks,GK Statue,unknown,other scale,Other,09/2023 ,GK Statue,"23,152.85"
pre-order,orderable,psd studio,Crayon Shin-chan,Action Kamen,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"3,704.46"
released,contact for current prices,Prime 1 Studio,Dragon Ball,Son Goku / Kakarotto,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"160,773.41"
pre-order,orderable,ABILU Studio,Original,Nun,PVC Figure,16-25cm,1/4,18+ Female,03/2025 ,PVC Figure,"9,353.75"
pre-order,orderable,wu shuang studio,Dragon Ball,Gogeta,GK Statue,26-35cm,1/6,Other,12/2024 ,GK Statue,"7,408.91"
pre-order,orderable,Wu Yu Studio,My Neighbor Totoro,Totoro,GK Statue,10-15cm,other scale,Other, ,GK Statue,"4,074.90"
pre-order,orderable,Huan Xing Studio,Digimon,Silphymon,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"9,075.92"
pre-order,orderable,MO HUAN YUAN Studio,One Piece,Yamato,GK Statue,36-50cm,1/7-1/9(pop-like),Other,12/2024 ,GK Statue,"26,301.64"
released,contact for current prices,Prime 1 Studio,DC Comics,Wonder Woman,Licensed Statue,51-69cm,1/3,Other, ,Licensed Statue,"120,302.22"
pre-order,orderable,Alice21 Studio,Zenless Zone Zero,Jane Doe,GK Statue,unknown,other scale,18+ Female,03/2025 ,GK Statue,"26,209.03"
early bird,orderable,Spirit Demon Studio,Zenless Zone Zero,Jane Doe,GK Statue,unknown,1/4,18+ Female, ,GK Statue,"46,213.09"
released,contact for current prices,Prime 1 Studio,DC Comics,Wonder Woman,Licensed Statue,over 90cm,1/3,Other, ,Licensed Statue,"333,308.46"
pre-order,orderable,Ht Studio,Jujutsu Kaisen,Satoru Gojo,GK Statue,26-35cm,1/6,18+ Male,06/2025 ,GK Statue,"25,745.97"
pre-order,orderable,yu studio,Hunter x Hunter,Netero Aizakku,GK Statue,16-25cm,1/6,Other, ,GK Statue,"17,781.39"
released,contact for current prices,Prime 1 Studio,DC Comics,Wonder Woman,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"83,257.66"
pre-order,orderable,c studio,Bleach,Gin Ichimaru,GK Statue,under 10cm,wcf-like & sd-like,Other,03/2025 ,GK Statue,"5,278.85"
pre-order,orderable,creation studio,Castlevania,Alucard,GK Statue,51-69cm,1/4,Serious / Soul-like, ,GK Statue,"47,139.21"
pre-order,orderable,ppap studio,Pokémon,Latios,GK Statue,36-50cm,other scale,Other,12/2024 ,GK Statue,"35,655.39"
pre-order,orderable,27abyss Studio,Hollow Knight ,Cloth,GK Statue,10-15cm,other scale,Other,12/2024 ,GK Statue,"12,224.71"
pre-order,orderable,Arctic Wolf Studio,Honkai: Star Rail,Fu Xuan,GK Statue,unknown,1/6,18+ Female, ,GK Statue,"16,021.77"
pre-order,orderable,Blossom Studio,Journey To The West,Sun Wukong,Licensed Statue,70-90cm,other scale,Other, ,Licensed Statue,"17,688.78"
pre-order,orderable,Kiss me Studio,Genshin Impact,Yelan,GK Statue,26-35cm,1/7-1/9(pop-like),Other, ,GK Statue,"12,687.76"
pre-order,orderable,jacksdo studio,One Piece,Kaido,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"7,316.30"
released,contact for current prices,Prime 1 Studio,The Witcher,Geralt,Licensed Statue,70-90cm,1/3,Other, ,Licensed Statue,"138,824.50"
pre-order close,contact for current prices,Gentleman 18 Studio,Original,Okan Ardana,GK Statue,16-25cm,1/6,18+ Male,06/2025 ,GK Statue,"15,743.94"
pre-order,orderable,Moonlight Studio,Honkai: Star Rail,Acheron,GK Statue,26-35cm,1/6,18+ Female,06/2025 ,GK Statue,"23,523.30"
pre-order,orderable,COCO Studio,One Piece,Monkey D. Luffy,GK Statue,unknown,other scale,Other,12/2024 ,GK Statue,"6,760.63"
pre-order,orderable,Rainbow Studio(Cai Hong She),Arknights,Odda,GK Statue,16-25cm,other scale,18+ Male,12/2024 ,GK Statue,"23,986.36"
released,contact for current prices,Prime 1 Studio,Super Hero/Tokusatsu Figure,Vampirella,Licensed Statue,51-69cm,1/3,Other, ,Licensed Statue,"183,926.26"
pre-order,orderable,WAWA Studio,Spy x Family,Anya Forger,GK Statue,16-25cm,other scale,Skin change / Cosplay,03/2025 ,GK Statue,"9,261.14"
pre-order,orderable,Chao She Studio,Project Sekai,Hatsune Miku,GK Statue,26-35cm,1/6,Other,09/2025 ,GK Statue,"23,523.30"
pre-order,orderable,SHAKE FINGERS SOCIETY Studio,Pokémon,Rapidash,GK Statue,10-15cm,1/20,Other, ,GK Statue,"11,020.76"
pre-order,orderable,q-mon studio,Ragnarok Online,Poring,GK Statue,under 10cm,other scale,Other, ,GK Statue,"8,983.31"
pre-order,orderable,AWM Studio,Fairy Tail,Mirajane Strauss,GK Statue,under 10cm,wcf-like & sd-like,Other, ,GK Statue,"5,093.63"
