Product Phase,Product State,Brand,From,Character,Type,Height Range,Scale,Feature,Est Released Time,Type,Price
pre-order,orderable,,Dragon Ball,Son Goku / Kakarotto,GK Statue,51-69cm,1/6,Other,12/2024 ,GK Statue,"17,966.61"
pre-order,orderable,LaoA Studio,Death Note,Near,GK Statue,unknown,1/7-1/9(pop-like),Other, ,GK Statue,"12,872.99"
pre-order,orderable,Cang Ming Studio,Original,Horned Frog,GK Statue,10-15cm,other scale,Other,06/2025 ,GK Statue,"13,058.21"
pre-order,orderable,Threezero Studio,Kamen Rider,Kamen Rider 1,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"28,524.31"
pre-order,orderable,Soldier Story Studio,Original,marine,Action Figure,unknown,1/6,Other,09/2025 ,Action Figure,"21,208.01"
pre-order,orderable,JSTOYS Studio,The Three Kingdoms,Ma Chao,Action Figure,unknown,1/6,Other,12/2024 ,Action Figure,"27,505.59"
pre-order,orderable,Hyperspace Studio,Goddess of Victory: Nikke,Scarlet:Black Shadow,GK Statue,36-50cm,1/6,18+ Female,06/2025 ,GK Statue,"38,526.35"
pre-order,orderable,Joy Man Toys Studio,Marvel,Captain America,Action Figure,unknown,other scale,Other,12/2024 ,Action Figure,"8,335.03"
released,contact for current prices,Prime 1 Studio,The Witcher,Cirilla Fiona Elen Riannon,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"90,666.57"
pre-order,orderable,I8Toys Studio,Original,Nurse,Action Figure,unknown,1/6,Other,12/2024 ,Action Figure,"10,279.87"
pre-order,orderable,End I Toys Studio,Celebrity Figure,Stephen Chow,Action Figure,unknown,1/6,Other,06/2025 ,Action Figure,"17,040.50"
released,contact for current prices,Prime 1 Studio,The Witcher,Yennefer,Licensed Statue,36-50cm,1/4,Other, ,Licensed Statue,"73,996.52"
released,contact for current prices,Prime 1 Studio,The Witcher,Geralt,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"73,348.24"
released,contact for current prices,Prime 1 Studio,The Witcher,Yennefer,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"64,735.38"
released,contact for current prices,Prime 1 Studio,The Witcher,Toad Prince,Licensed Statue,26-35cm,none scale,Other, ,Licensed Statue,"55,474.23"
released,contact for current prices,Prime 1 Studio,The Witcher,Triss,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"290,336.77"
pre-order,orderable,ENSOUTOYS Studio,Original,Female friends,Licensed Figure,10-15cm,1/6,Other,06/2025 ,Licensed Figure,"9,631.59"
released,contact for current prices,Prime 1 Studio,The Witcher,Cirilla Fiona Elen Riannon,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"71,218.17"
early bird,orderable,CircleMax Studio,Blue Archive,Rikuhachima Aru,GK Statue,unknown,other scale,Other, ,GK Statue,"18,429.67"
pre-order,orderable,Monkey.D Studio,Dragon Ball,Son Goku / Kakarotto,GK Statue,51-69cm,1/4,Other,09/2025 ,GK Statue,"66,587.60"
pre-order,orderable,Hex Studio,World of Warcraft,Illidan Stormrage,Licensed Statue,51-69cm,1/10,Other,09/2025 ,Licensed Statue,"55,289.01"
early bird,orderable,AW Studio,Dragon Ball,Super Saiyan Rose (Zamasu),GK Statue,36-50cm,1/6,Other, ,GK Statue,"22,875.02"
released,contact for current prices,Prime 1 Studio,The Witcher,Eredin: King of the Wild Hunt,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"193,557.85"
early bird,orderable,Iron Knight Studio,Dragon Ball,Son Goku / Kakarotto,GK Statue,26-35cm,1/6,18+ Male,12/2024 ,GK Statue,"18,429.67"
pre-order,orderable,okr Studio,Honkai: Star Rail,Aventurine,GK Statue,26-35cm,other scale,Other,09/2025 ,GK Statue,"43,434.75"
pre-order,orderable,Zero Krypton Studio,Honkai: Star Rail,Firefly,GK Statue,16-25cm,1/6,18+ Female,12/2024 ,GK Statue,"26,301.64"
released,in stock,Dorobou Neko Studio,Genshin Impact,Kamisato Ayaka,3D Decorative Paint,36-50cm,other scale,18+ Female,09/2024 ,3D Decorative Paint,"6,297.58"
pre-order,orderable,5G Studio,One Piece,Vinsmoke Sanji,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,853.24"
pre-order,orderable,,Jujutsu Kaisen,Toji Fushiguro,GK Statue,36-50cm,1/6,Other,06/2025 ,GK Statue,"17,781.39"
pre-order,orderable,kaitendoh Studio,Miss Kobayashi's Dragon Maid,Tohru,Licensed Figure,26-35cm,1/6,18+ Female,02/2025 ,Licensed Figure,"18,800.12"
pre-order,orderable,kaitendoh Studio,High School D×D,Rias Gremory,Licensed Figure,10-15cm,1/6,Other,07/2025 ,Licensed Figure,"21,578.46"
pre-order,orderable,c studio,Bleach,Kurosaki ichigo,GK Statue,under 10cm,wcf-like & sd-like,Other,06/2025 ,GK Statue,"5,371.46"
pre-order,orderable,ML Studio,One Piece,Eustass Kid,GK Statue,16-25cm,other scale,Other,06/2025 ,GK Statue,"15,095.66"
pre-order,orderable,Ruby Studio,Pokémon,Glaceon,GK Statue,16-25cm,other scale,Other,06/2025 ,GK Statue,"19,726.23"
pre-order,orderable,SS Studio,One Piece,Smoker,GK Statue,26-35cm,other scale,Other,12/2024 ,GK Statue,"12,872.99"
pre-order,orderable,Flying Mouse Studio,Pokémon,Onix,GK Statue,unknown,1/20,Other, ,GK Statue,"8,612.86"
pre-order,orderable,San Ji Studio,Chainsaw Man,Makima,GK Statue,36-50cm,other scale,18+ Female,03/2025 ,GK Statue,"46,213.09"
pre-order,orderable,starexva studio,Original,Orchid,GK Statue,36-50cm,1/6,Other,12/2025 ,GK Statue,"26,116.42"
released,contact for current prices,Prime 1 Studio,The Witcher,Geralt,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"139,658.01"
pre-order,orderable,5G Studio,One Piece,Roronoa Zoro,GK Statue,10-15cm,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,853.24"
released,contact for current prices,Prime 1 Studio,Ultraman,Ultraman,Licensed Statue,51-69cm,none scale,Other, ,Licensed Statue,"111,874.58"
pre-order,orderable,league studio,One Piece,Charlotte Perospero,GK Statue,unknown,wcf-like & sd-like,Other,12/2024 ,GK Statue,"6,482.80"
pre-order,orderable,Phoenix Studio,Digimon,Greymon,GK Statue,26-35cm,other scale,Other, ,GK Statue,"10,928.15"
released,contact for current prices,Prime 1 Studio,Ultraman,Ultraman Zero,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"83,257.66"
pre-order,orderable,lx studio,One Piece,Eustass Kid,GK Statue,16-25cm,other scale,Other,12/2024 ,GK Statue,"22,226.74"
released,contact for current prices,Prime 1 Studio,Ultraman,Ultraman,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"92,611.41"
pre-order,orderable,dmx studio,Digimon,Magnamon,GK Statue,16-25cm,other scale,Other,03/2025 ,GK Statue,"19,541.01"
pre-order,orderable,AYS Studio,Pokémon,Onix,GK Statue,unknown,other scale,Other, ,GK Statue,"6,297.58"
pre-order,orderable,Raven Studio,Pokémon,Gallade,GK Statue,26-35cm,other scale,Other,06/2025 ,GK Statue,"22,226.74"
released,contact for current prices,Prime 1 Studio,Predator,Predator Hound,Licensed Statue,36-50cm,1/4,Other, ,Licensed Statue,"101,779.94"
released,contact for current prices,Prime 1 Studio,Predator,Assassin Predator,Licensed Statue,over 90cm,1/4,Other, ,Licensed Statue,"268,480.48"
released,contact for current prices,Prime 1 Studio,Predator,Fugitive Predator,Licensed Statue,70-90cm,1/4,Other, ,Licensed Statue,"165,867.04"
pre-order,orderable,AmiAmi Studio,Azur Lane,Shinano,Licensed Figure,26-35cm,1/6,Other,12/2025 ,Licensed Figure,"15,743.94"
pre-order,orderable,infinity studio,League of Legends,Seraphine,Licensed Statue,51-69cm,1/4,Other,09/2025 ,Licensed Statue,"84,276.38"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Bebop,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"110,948.47"
early bird,orderable,Hades Studio,Journey To The West,Nine Headed Bug,GK Statue,51-69cm,other scale,Other,03/2025 ,GK Statue,"27,690.81"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Michelangelo,Licensed Statue,36-50cm,1/4,Other, ,Licensed Statue,"55,474.23"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Donatello,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"55,474.23"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Leonardo,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"55,474.23"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Raphael,Licensed Statue,36-50cm,1/4,Other, ,Licensed Statue,"55,474.23"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Rocksteady,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"55,474.23"
pre-order,orderable,Gang Shang Kai Hua Studio,Pokémon,Blaziken,GK Statue,10-15cm,1/20,Other,12/2024 ,GK Statue,"7,408.91"
released,contact for current prices,Prime 1 Studio,Teenage Mutant Ninja Turtles Series,Bebop,Licensed Statue,51-69cm,1/4,Other, ,Licensed Statue,"55,474.23"
